x,y,Time
0.0,0.0,0.0
0.0,0.0,0.04
-0.0010377170187118832,-0.0023293010516195023,0.08
-0.0025174923512271716,-0.006788165545957659,0.12
-0.004394485000051048,-0.013051884187785799,0.16
-0.006562124949950798,-0.020861018174147726,0.2
-0.009499111521354008,-0.029801950731568726,0.24
-0.012299964995756297,-0.03993350792355988,0.28
-0.01499380205543942,-0.051076035217927196,0.32
-0.01814222924365003,-0.06294826509878765,0.36
-0.021815759323599256,-0.07538652204588793,0.4
-0.025885818972969127,-0.08832645080555789,0.44
-0.030623526842659097,-0.10153192922772705,0.48
-0.03597116629086359,-0.11493799551588485,0.52
-0.04182066546693762,-0.12852451428578357,0.56
-0.04778170112919974,-0.1424234712508828,0.6
-0.05344196106230283,-0.1567175847974984,0.64
-0.05936112292141515,-0.17116431092762038,0.68
-0.06540419421844301,-0.1857847104555098,0.72
-0.07155068655808991,-0.20055355360469868,0.76
-0.07777571261924075,-0.21545259465730843,0.8
-0.08390294380887434,-0.23052586080581672,0.84
-0.09019120805398564,-0.24564808198396113,0.88
-0.09661103720438355,-0.260814391918419,0.92
-0.10328848103603867,-0.2759446529400221,0.96
-0.109879024927818,-0.29118566753783787,1.0
-0.116325488898236,-0.3065466298903299,1.04
-0.12250585945100849,-0.3220552375593994,1.08
-0.12250585945100849,-0.3220552375593994,1.12
-0.12218773368376235,-0.3245853158183104,1.16
-0.12219488082115802,-0.32927073218702013,1.2
-0.12245377563893278,-0.33579077224218346,1.24
-0.12319060333816503,-0.3438298949459076,1.28
-0.12438663246332676,-0.3531486899825374,1.32
-0.1262367424534931,-0.3634796040128967,1.36
-0.12881801027770945,-0.374602904869153,1.4000000000000001
-0.1319526334942706,-0.3864279160813794,1.44
-0.13520244366105907,-0.3989610760426913,1.48
-0.13867257233271071,-0.4120640647107603,1.52
-0.14311420624273571,-0.4252695419187231,1.56
-0.1484141112145332,-0.43853829894063934,1.6
-0.1548036791646561,-0.4515344732341551,1.6400000000000001
-0.16198772060358999,-0.46443319631730756,1.68
-0.17019893626770052,-0.4768366939661982,1.72
-0.1792847104080042,-0.4888171124740937,1.76
-0.18925687634574562,-0.5002018585737287,1.8
-0.20020433942704063,-0.5105082224748771,1.84
-0.21201006211851228,-0.5197692359203306,1.8800000000000001
-0.22457997457879078,-0.5279168341128632,1.92
-0.23780944812647273,-0.5350011349493073,1.96
-0.2515869856370388,-0.5407244288833842,2.0
-0.2658174291087703,-0.5451962460521749,2.04
-0.28043001455804406,-0.5485865859651589,2.08
-0.29531978853552604,-0.5508310664889269,2.12
-0.31051591150748387,-0.5525111924731666,2.16
-0.3258664020919708,-0.5531782572335404,2.2
-0.3414447746123177,-0.553430151436786,2.24
-0.357221537508784,-0.5533694279781834,2.2800000000000002
-0.357221537508784,-0.5533694279781834,2.32
-0.3592982469825206,-0.5518896382087592,2.36
-0.3632499907166741,-0.5493197422695831,2.4
-0.3686317553000428,-0.5455826390827179,2.44
-0.37521946265090234,-0.5408410148768644,2.48
-0.38231084878698196,-0.5347425606408709,2.52
-0.38991009680299094,-0.5275507240572062,2.56
-0.39770784093896855,-0.5192671261421449,2.6
-0.40623293204547894,-0.5105219967873236,2.64
-0.41542205610394967,-0.5014369585070754,2.68
-0.42537505970151174,-0.49233146489567925,2.72
-0.4359614990166341,-0.48318432188566973,2.7600000000000002
-0.4471179780787035,-0.47405075423238086,2.8000000000000003
-0.4587125451025004,-0.4648576011053195,2.84
-0.47097046499134876,-0.45618883827162793,2.88
-0.4838719104395626,-0.44823633855662,2.92
-0.49737204688152636,-0.44119068721715365,2.96
-0.49737204688152636,-0.44119068721715365,3.0
-0.49737204688152636,-0.44119068721715365,3.04
-0.49757121864178355,-0.43864847742842344,3.08
-0.49803916760707045,-0.4339551484364067,3.12
-0.4988455161644968,-0.42744876642403656,3.16
-0.4999454521399918,-0.4194022620574441,3.2
-0.4999454521399918,-0.4194022620574441,3.24
-0.5015305570760785,-0.4174047780546062,3.2800000000000002
-0.5044296888768482,-0.41368344446044786,3.3200000000000003
-0.508297386200441,-0.4083912572709234,3.36
-0.508297386200441,-0.4083912572709234,3.4
-0.5103401394254189,-0.40686493513525146,3.44
-0.5141682046278965,-0.40410907351178815,3.48
-0.5141682046278965,-0.40410907351178815,3.52
-0.516582074049783,-0.4032870428468603,3.56
-0.5206500496042308,-0.4010270699042189,3.6
-0.5262309729078035,-0.39769373345657605,3.64
-0.5331269164321606,-0.39349265742045275,3.68
-0.541093383723224,-0.3884823569487169,3.72
-0.5501641005313337,-0.38312083721129175,3.7600000000000002
-0.5602426187489705,-0.3776184850465821,3.8000000000000003
-0.5712340986896799,-0.3721520944399161,3.84
-0.5831248100556922,-0.36740351846794983,3.88
-0.5831248100556922,-0.36740351846794983,3.92
-0.5853646472518853,-0.366184654515513,3.96
-0.5896704863797404,-0.3642924636070483,4.0
-0.5957263240744821,-0.3618110115991383,4.04
-0.6032018576117513,-0.35866130485261727,4.08
-0.6116412256612762,-0.3545162023444755,4.12
-0.6209043368728978,-0.34953140372084895,4.16
-0.6307498415960221,-0.3436774552676081,4.2
-0.641099837326662,-0.3370963314813094,4.24
-0.6517519594321115,-0.3297522724416694,4.28
-0.6628233667770751,-0.3219497603210416,4.32
-0.6741480836821024,-0.3136326843945778,4.36
-0.6856757229760455,-0.3048642573726982,4.4
-0.6973346821354933,-0.2956672001534735,4.44
-0.7090355174062197,-0.2860342616435423,4.48
-0.7209743120630511,-0.27625563086899807,4.5200000000000005
-0.733318440796715,-0.2666478738831398,4.5600000000000005
-0.7459913322106484,-0.25715899667217773,4.6000000000000005
-0.7588529727908779,-0.24763203889436117,4.64
-0.7715988514862733,-0.23774142429279208,4.68
-0.7715988514862733,-0.23774142429279208,4.72
-0.7727467521141471,-0.2354644033994916,4.76
-0.7748088304046967,-0.23122192112776666,4.8
-0.777173606620978,-0.22514034272302297,4.84
-0.7798769150999056,-0.2175170438163724,4.88
-0.7827704662790718,-0.20855780531884943,4.92
-0.7857702021149048,-0.1984503319663423,4.96
-0.7894604078517989,-0.1875782080839645,5.0
-0.7894604078517989,-0.1875782080839645,5.04
-0.7916951979774476,-0.18635011480806754,5.08
-0.7959329285321731,-0.18428863406215573,5.12
-0.8016605783515733,-0.1811276829274658,5.16
-0.8087554062171901,-0.17719750216037403,5.2
-0.8087554062171901,-0.17719750216037403,5.24
-0.8087554062171901,-0.17719750216037403,5.28
-0.8111056729055671,-0.17818681833506514,5.32
-0.8111056729055671,-0.17818681833506514,5.36
-0.8135726590559386,-0.17754146623436726,5.4
-0.8181378797066807,-0.17635254059015906,5.44
-0.8244087679703513,-0.17445412193886214,5.48
-0.8319363154466306,-0.17154647772376497,5.5200000000000005
-0.8403512018673568,-0.16751410076044418,5.5600000000000005
-0.8495336576828927,-0.16254307705759907,5.6000000000000005
-0.8594757068301687,-0.15692634258861157,5.64
-0.8702338757626623,-0.15106663226347827,5.68
-0.8815958563339598,-0.14482689884145117,5.72
-0.8934767846323609,-0.138274252940291,5.76
-0.9057873808728026,-0.13143548502436064,5.8
-0.9182943430043811,-0.12409648068101334,5.84
-0.9309328167089465,-0.11628599771780357,5.88
-0.943456831966809,-0.10782241588919984,5.92
-0.9557747057786934,-0.09870343634127506,5.96
-0.9676381151997319,-0.08881654922654808,6.0
-0.9787874040070709,-0.0780959210328446,6.04
-0.9787874040070709,-0.0780959210328446,6.08
-0.9787874040070709,-0.0780959210328446,6.12
-0.9764245193639732,-0.07713713212833391,6.16
-0.9720532352746901,-0.07536324328057288,6.2
-0.9659353050034655,-0.07300029548384113,6.24
-0.9583776637687698,-0.07001959498777302,6.28
-0.9496065697729574,-0.06648919139190172,6.32
-0.9397339886003658,-0.06267601853280522,6.36
-0.9397339886003658,-0.06267601853280522,6.4
-0.937842877873785,-0.06096540454367416,6.44
-0.9346718905391707,-0.05749697638591776,6.48
-0.9306200380461316,-0.05238955985446702,6.5200000000000005
-0.9261113731009123,-0.04573111371872225,6.5600000000000005
-0.9261113731009123,-0.04573111371872225,6.6000000000000005
-0.9284623192540039,-0.044743413265515994,6.640000000000001
-0.932716599934444,-0.042715141563749864,6.68
-0.9382881430455615,-0.039354378167113256,6.72
-0.9449153008685234,-0.03478737562267537,6.76
-0.9521449386554743,-0.02891707829801646,6.8
-0.9599766737895785,-0.02201471671034583,6.84
-0.9599766737895785,-0.02201471671034583,6.88
-0.9623995840826236,-0.021219728841346788,6.92
-0.9623995840826236,-0.021219728841346788,6.96
-0.9642602667026323,-0.019476065976112313,7.0
-0.9678802293546551,-0.0164617981459013,7.04
-0.9730521196452836,-0.012445778588680475,7.08
-0.9798637599132776,-0.008215034184875764,7.12
-0.9881782181020823,-0.004259628833767071,7.16
-0.9881782181020823,-0.004259628833767071,7.2
-0.9889719970794754,-0.0018363222219143548,7.24
-0.990393540478989,0.002661672775119633,7.28
-0.9927145201421976,0.008779411902929088,7.32
-0.995820448146238,0.01626391461054119,7.36
-0.9996627245170249,0.02487454711292292,7.4
-1.0041474157429726,0.03443348050871347,7.44
-1.0094566762624524,0.04462271382040113,7.48
-1.015064832205836,0.05558635432310682,7.5200000000000005
-1.020912871757812,0.0672149308686174,7.5600000000000005
-1.0270062443857852,0.0793888510713711,7.6000000000000005
