"","condition","noiseSyn","noiseRot","noiseSlope","mean_speed","sd_speed","sinuosity","sinuosity_redisc","sinuosity_smooth_redisc","straightness_DL_ratio","straightness_r","Emax_a","Emax_b","Emax_a_unrediscretised","Emax_b_unrediscretised","ESqDiffusionDistance","EDiffusionDistance","TrajExpDrift","TrajExpDriftDist","TrajNestNearest","min_deltaS","min_C","filename"
"1","ZV","0.1","1","10",0.329676179140694,0.117373634974297,3.16099555115482,1.109321345312,1.11106424153916,0.186822420510409,0.944883603319241,15.7523159416716,1.57523159416716,14.6153255011249,0.192732986724336,0.148413426392658,0.341414165658539,0.940306760958794,0.376122704383518,9.5296560487147,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_101.csv"
"2","ZV","0.1","1","10",0.301686633220486,0.127070870814678,4.26862130811639,1.29987561157632,1.3026946028679,0.231449878603486,0.92093131378057,11.3365845476345,1.13365845476345,8.50704809062318,0.102658507884195,0.144434472805485,0.336806427600048,0.918940287229519,0.367576114891808,9.96471874477975,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_102.csv"
"3","ZV","0.1","1","10",0.33212885378367,0.116015093807032,3.41534362148287,1.15140256188585,1.15228596271815,0.0363679753170991,0.939004433338621,14.5860524325724,1.45860524325724,12.3450791164163,0.164006279072162,0.147574381776477,0.340447717589293,0.935840072120497,0.374336028848199,10.4500779565776,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_103.csv"
"4","ZV","0.1","1","10",0.341029171165656,0.115804730634258,2.99759239653248,0.862861655864226,0.861317514528751,0.103371642941928,0.965878532977309,26.362575892511,2.6362575892511,15.7590818231555,0.214972264499299,0.152823333348446,0.346449369080311,0.963453733159907,0.385381493263963,10.2241254524328,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_104.csv"
"5","ZV","0.1","1","10",0.324056167694097,0.121990914203757,4.09527798085168,1.04072998141733,1.04095935095289,0.207766130402299,0.95362522500991,17.9651935320415,1.79651935320415,8.62903920232209,0.111851734991465,0.149729459517297,0.342924543466019,0.947271827291901,0.378908730916761,9.48801922108052,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_105.csv"
"6","ZV","0.1","1","10",0.334162463892392,0.11414132655295,3.34932504364012,1.0475160005109,1.04909741739998,0.184209101371912,0.94685117658206,17.7267259958368,1.77267259958368,12.7798794867914,0.170822240702162,0.149602183066946,0.342778762208262,0.946600382777945,0.378640153111178,10.0236184148578,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_106.csv"
"7","ZV","0.1","1","10",0.319585052235816,0.123645246446441,3.37831039906865,0.952758951874336,0.952589339043619,0.140662741903961,0.955635877113751,21.5325071485028,2.15325071485028,13.1334835728647,0.167890601346888,0.151319148000993,0.344740164365637,0.955619674570193,0.382247869828077,9.99581011917431,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_107.csv"
"8","ZV","0.1","1","10",0.34285385268933,0.11476410945916,3.02340422702593,1.01207759193058,1.01140183203155,0.120879140742866,0.952542694049268,19.0255095747785,1.90255095747785,15.3979387435679,0.211169704868262,0.150259611560086,0.343531109147491,0.950063692698264,0.380025477079306,10.7852454924948,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_108.csv"
"9","ZV","0.1","1","10",0.344402508167245,0.111283735002114,2.60844418187955,0.917072727538606,0.914346434313988,0.204019005497677,0.959397488344823,23.2805797978695,2.32805797978695,20.7851523682351,0.28633834433034,0.151931189114411,0.345436646714342,0.958814822037827,0.383525928815131,9.23646065019486,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_109.csv"
"10","ZV","0.1","1","10",0.33308243726932,0.115981392155842,3.29752980957951,0.775297879302336,0.775443932277901,0.142532193195668,0.973476809300074,32.7730646307258,3.27730646307258,13.2445160302885,0.176460627192843,0.154165273509753,0.347967128726588,0.970390605326049,0.38815624213042,10.0136163519369,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_110.csv"
"11","ZV","0.1","1","10",0.329347163684564,0.115434379033453,3.86604757409245,0.9640348394639,0.962096502098899,0.0685026745625029,0.955034281110819,21.0201124910209,2.10201124910209,9.5959565222193,0.126416042537333,0.151121755437189,0.344515237935518,0.954586971324158,0.381834788529663,10.6519914076015,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_111.csv"
"12","ZV","0.1","1","10",0.333022360792258,0.112446991811937,3.27990752672155,1.09137947824973,1.09157714080338,0.0281849403634506,0.944300075651628,16.2910722027353,1.62910722027353,13.3993942875386,0.178491916752897,0.148763937816466,0.341817090767598,0.942166686468303,0.376866674587321,10.2604000037856,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_112.csv"
