"","condition","noiseSyn","noiseRot","noiseSlope","mean_speed","sd_speed","sinuosity","sinuosity_redisc","sinuosity_smooth_redisc","straightness_DL_ratio","straightness_r","Emax_a","Emax_b","Emax_a_unrediscretised","Emax_b_unrediscretised","ESqDiffusionDistance","EDiffusionDistance","TrajExpDrift","TrajExpDriftDist","TrajNestNearest","min_deltaS","min_C","filename"
"1","ZV","0.1","1","10",0.188106245334738,0.103660663006453,10.418527653591,1.34374748913281,1.42832304544631,0.959606157427185,0.984249048417325,54.8814941485066,1.09762988297013,1.79696250317969,0.0135207947792177,0.00625811624655748,0.0701078669364144,0.9821049881497,0.078568399051976,10.9229123410144,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_101_platformReleases.csv"
"2","ZV","0.1","1","10",0.28134014752806,0.120389176107001,1.84403281060603,0.257444435164373,0.232171037059215,0.998489603852761,0.999354612910535,1508.30454145657,30.1660908291314,51.6722477713012,0.581499112443374,0.00639470130115078,0.070868798899086,0.999337443191528,0.0799469954553222,10.8902397019532,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_102_platformReleases.csv"
"3","ZV","0.1","1","10",0.275121300012854,0.117111513261492,4.22159921705691,0.639391981796895,0.619207283328432,0.980430770777214,0.998082520388495,244.105167964041,4.88210335928082,9.60685633123767,0.105722032115473,0.00636742747671297,0.0707175073498551,0.995920118664545,0.0796736094931636,10.795117575285,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_103_platformReleases.csv"
"4","ZV","0.1","1","10",0.228976987729049,0.12624590900012,5.82552582435004,2.08550440630897,2.22315408307975,0.849888637834273,0.965331998660683,22.492054299908,0.449841085998161,5.78240565751068,0.0529615131713682,0.00606664561717288,0.0690270405399997,0.95743241577626,0.0765945932621008,11,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_104_platformReleases.csv"
"5","ZV","0.1","1","10",0.224732004112991,0.115799612081034,8.00737946101737,0.651677899646151,0.612627066255663,0.992963956380761,0.995826578191216,234.969148853451,4.69938297706902,2.8372022722417,0.0255044061085923,0.00636616903931072,0.07071051881688,0.995762157871659,0.0796609726297327,10.955169726351,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_105_platformReleases.csv"
"6","ZV","0.1","1","10",0.275355700395946,0.115107800315172,4.25808133397385,0.52832563140731,0.496860281787674,0.978003958858368,0.999045502583586,357.758611618833,7.15517223237666,9.42755667740179,0.103837258877138,0.00637773194455294,0.0707747056220873,0.997212610463934,0.0797770088371147,10.8798406654312,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_106_platformReleases.csv"
"7","ZV","0.1","1","10",0.180919511526308,0.120940569033252,11.5658317780792,2.08523152952474,2.21715744944916,0.955078671851959,0.959018733550268,22.4980722487682,0.449961444975363,1.3425716739585,0.00971589645766514,0.00606672916637238,0.0690275158549009,0.957443317502251,0.07659546540018,10.9184382935865,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_107_platformReleases.csv"
"8","ZV","0.1","1","10",0.278729472644407,0.119187148973388,3.92338335840651,0.508090379950113,0.489141786992886,0.990575849576191,0.998553671155899,386.862928715995,7.73725857431991,11.0623233242908,0.123335821856059,0.00637940073205627,0.0707839644166201,0.99742176958414,0.0797937415667312,10.8373544429627,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_108_platformReleases.csv"
"9","ZV","0.1","1","10",0.200660296148359,0.120492019341563,2.70545494890095,0.858636438853435,0.723468103627696,0.986533463050103,0.993203341496111,135.137997591197,2.70275995182394,33.3627225338244,0.26778295135811,0.0063414516053208,0.0705731141731237,0.992654512203104,0.0794123609762483,10.9196542764266,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_109_platformReleases.csv"
"10","ZV","0.1","1","10",0.276813529184884,0.116717405924381,4.16403212325172,0.507927841299174,0.48142423584377,0.984002210627421,0.998491341095944,387.110883313781,7.74221766627562,9.82839227908455,0.108825278119474,0.00637941387546616,0.0707840373342982,0.997423416752806,0.0797938733402245,11,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_110_platformReleases.csv"
"11","ZV","0.1","1","10",0.282009015104345,0.120750579479792,0.163466802735084,0.15403873497026,0.140752902870808,0.998285271073942,0.99993004716072,4213.94230970738,84.2788461941475,6634.51449208049,74.8397159042851,0.00639810221505468,0.0708876415811183,0.999762748828686,0.0799810199062949,11,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_111_platformReleases.csv"
"12","ZV","0.1","1","10",0.187773778301687,0.103680678237629,10.49811330246,1.07749742065134,0.942135662958133,0.974133677476158,0.989445484283204,85.6325929702199,1.7126518594044,1.76364799706303,0.0132466739201091,0.0063081877348819,0.0703877763631055,0.988457000238424,0.0790765600190739,10.9402951868302,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot1.0_noiseSlope10.0_route_ZV_112_platformReleases.csv"
