"","x","y"
"1",0,0
"2",6.12323399573677e-20,0.001
"3",1.22464679914735e-19,0.002
"4",1.83697019872103e-19,0.003
"5",2.44929359829471e-19,0.004
"6",3.06161699786838e-19,0.005
"7",3.67394039744206e-19,0.006
"8",4.28626379701574e-19,0.007
"9",4.89858719658941e-19,0.008
"10",5.51091059616309e-19,0.009
"11",6.12323399573677e-19,0.01
"12",-0.000999999999999749,0.0100000007078052
"13",-0.00199999999999975,0.0100000007078052
"14",-0.00299999999999975,0.0100000007078052
"15",-0.00399999999999975,0.0100000007078052
"16",-0.00499999999999975,0.0100000007078052
"17",-0.00599999999999975,0.0100000007078052
"18",-0.00699999999999975,0.0100000007078052
"19",-0.00799999999999975,0.0100000007078052
"20",-0.00899999999999975,0.0100000007078052
"21",-0.00999999999999975,0.0100000007078052
"22",-0.0106000000044703,0.00920000071115804
"23",-0.0112000000029801,0.00840000071004045
"24",-0.01180000000149,0.00760000070892287
"25",-0.0123999999999999,0.00680000070780528
"26",-0.0129999999985098,0.00600000070668769
"27",-0.0135999999970197,0.0052000007055701
"28",-0.0141999999955296,0.00440000070445252
"29",-0.0147999999940394,0.00360000070333493
"30",-0.0153999999925493,0.00280000070221734
"31",-0.0159999999910592,0.00200000070109975
"32",-0.0165999999895691,0.00120000069998217
"33",-0.017199999988079,0.000400000698864582
"34",-0.0177999999865889,-0.000399999302253005
"35",-0.0183999999850987,-0.00119999930337059
"36",-0.0189999999836086,-0.00199999930448818
"37",-0.0195999999821185,-0.00279999930560577
"38",-0.0201999999806284,-0.00359999930672335
"39",-0.0207999999791383,-0.00439999930784094
"40",-0.0213999999776482,-0.00519999930895853
"41",-0.021999999976158,-0.00599999931007611
"42",-0.0225999999746679,-0.0067999993111937
"43",-0.0231999999731778,-0.00759999931231128
"44",-0.0237999999716877,-0.00839999931342887
"45",-0.0243999999701976,-0.00919999931454646
"46",-0.0249999999687075,-0.00999999931566404
"47",-0.0255999999672173,-0.0107999993167816
"48",-0.0261999999657272,-0.0115999993178992
"49",-0.0267999999642371,-0.0123999993190168
"50",-0.027399999962747,-0.0131999993201344
"51",-0.0279999999612569,-0.013999999321252
"52",-0.0285999999597668,-0.0147999993223696
"53",-0.0291999999582766,-0.0155999993234872
"54",-0.0297999999567865,-0.0163999993246047
"55",-0.0303999999552964,-0.0171999993257223
"56",-0.0309999999538063,-0.0179999993268399
"57",-0.0315999999523162,-0.0187999993279575
"58",-0.0321999999508261,-0.0195999993290751
"59",-0.0327999999493359,-0.0203999993301927
"60",-0.0333999999478458,-0.0211999993313103
"61",-0.0339999999463557,-0.0219999993324278
"62",-0.0345999999448656,-0.0227999993335454
"63",-0.0351999999433755,-0.023599999334663
"64",-0.0357999999418854,-0.0243999993357806
"65",-0.0363999999403952,-0.0251999993368982
"66",-0.0369999999389051,-0.0259999993380158
"67",-0.037599999937415,-0.0267999993391334
"68",-0.0381999999359249,-0.027599999340251
"69",-0.0387999999344348,-0.0283999993413685
"70",-0.0393999999329447,-0.0291999993424861
"71",-0.0399999999288807,-0.0299999993455341
"72",-0.0404472135243807,-0.030894426536534
"73",-0.0408944271198807,-0.0317888537275339
"74",-0.0413416407153806,-0.0326832809185338
"75",-0.0417888543108806,-0.0335777081095337
"76",-0.0422360679063805,-0.0344721353005336
"77",-0.0426832815018805,-0.0353665624915336
"78",-0.0431304950973804,-0.0362609896825335
"79",-0.0435777086928804,-0.0371554168735334
"80",-0.0440249222883804,-0.0380498440645333
"81",-0.0444721358838803,-0.0389442712555332
"82",-0.0449193494793803,-0.0398386984465331
"83",-0.0453665630748802,-0.040733125637533
"84",-0.0458137766703802,-0.0416275528285329
"85",-0.0462609902658801,-0.0425219800195329
"86",-0.0467082038613801,-0.0434164072105328
"87",-0.0471554174568801,-0.0443108344015327
"88",-0.04760263105238,-0.0452052615925326
"89",-0.04804984464788,-0.0460996887835325
"90",-0.0484970582433799,-0.0469941159745324
"91",-0.0489442718388799,-0.0478885431655323
"92",-0.0493914854343798,-0.0487829703565323
"93",-0.0498386990298798,-0.0496773975475322
"94",-0.0502859126253798,-0.0505718247385321
"95",-0.0507331262208797,-0.051466251929532
"96",-0.0511803398163797,-0.0523606791205319
"97",-0.0516275534118796,-0.0532551063115318
"98",-0.0520747670073796,-0.0541495335025317
"99",-0.0525219806028795,-0.0550439606935317
"100",-0.0529691941983795,-0.0559383878845316
"101",-0.0534164077938794,-0.0568328150755315
"102",-0.0538636213893794,-0.0577272422665314
"103",-0.0543108349848794,-0.0586216694575313
"104",-0.0547580485803793,-0.0595160966485312
"105",-0.0552052621758793,-0.0604105238395311
"106",-0.0556524757713792,-0.061304951030531
"107",-0.0560996893668792,-0.062199378221531
"108",-0.0565469029623791,-0.0630938054125309
"109",-0.0569941165578791,-0.0639882326035308
