"","x","y"
"1",0,0
"2",-0.000316227763808013,-0.000948683298786789
"3",-0.000632455527616025,-0.00189736659757358
"4",-0.000948683291424038,-0.00284604989636037
"5",-0.00126491105523205,-0.00379473319514716
"6",-0.00158113881904006,-0.00474341649393394
"7",-0.00189736658284808,-0.00569209979272073
"8",-0.00221359434665609,-0.00664078309150752
"9",-0.0025298221104641,-0.00758946639029431
"10",-0.00284604987427211,-0.0085381496890811
"11",-0.00316227763808013,-0.00948683298786789
"12",-0.00347850540188814,-0.0104355162866547
"13",-0.00379473316569615,-0.0113841995854415
"14",-0.00411096092950416,-0.0123328828842283
"15",-0.00442718869331218,-0.013281566183015
"16",-0.00474341645712019,-0.0142302494818018
"17",-0.0050596442209282,-0.0151789327805886
"18",-0.00537587198473622,-0.0161276160793754
"19",-0.00569209974854423,-0.0170762993781622
"20",-0.00600832751235224,-0.018024982676949
"21",-0.00632455527616025,-0.0189736659757358
"22",-0.00664078303996827,-0.0199223492745226
"23",-0.00695701080377628,-0.0208710325733094
"24",-0.00727323856758429,-0.0218197158720961
"25",-0.0075894663313923,-0.0227683991708829
"26",-0.00790569409520032,-0.0237170824696697
"27",-0.00822192185900833,-0.0246657657684565
"28",-0.00853814962281634,-0.0256144490672433
"29",-0.00885437738662435,-0.0265631323660301
"30",-0.00917060515043237,-0.0275118156648169
"31",-0.00948683291424038,-0.0284604989636037
"32",-0.00980306067804839,-0.0294091822623905
"33",-0.0101969929047695,-0.0303283217516686
"34",-0.0107114886619587,-0.0311858146763242
"35",-0.0112259844191478,-0.0320433076009798
"36",-0.011740480176337,-0.0329008005256353
"37",-0.0122549759335261,-0.0337582934502909
"38",-0.0127694716907153,-0.0346157863749465
"39",-0.0132839674479044,-0.035473279299602
"40",-0.0137984632050936,-0.0363307722242576
"41",-0.0143129589622827,-0.0371882651489132
"42",-0.0148274547194719,-0.0380457580735687
"43",-0.015341950476661,-0.0389032509982243
"44",-0.0158564462338502,-0.0397607439228799
"45",-0.0163709419910393,-0.0406182368475355
"46",-0.0168854377482285,-0.041475729772191
"47",-0.0173999335054176,-0.0423332226968466
"48",-0.0179144292626068,-0.0431907156215022
"49",-0.0184289250197959,-0.0440482085461577
"50",-0.0189434207769851,-0.0449057014708133
"51",-0.0194579165341742,-0.0457631943954689
"52",-0.0199724122913634,-0.0466206873201244
"53",-0.0204869080485525,-0.04747818024478
"54",-0.0210014038057417,-0.0483356731694356
"55",-0.0215158995629308,-0.0491931660940911
"56",-0.02203039532012,-0.0500506590187467
"57",-0.0225448910773091,-0.0509081519434023
"58",-0.0230593868344983,-0.0517656448680579
"59",-0.0235738825916874,-0.0526231377927134
"60",-0.0240883783488766,-0.053480630717369
"61",-0.0246028741060657,-0.0543381236420246
"62",-0.0251173698632549,-0.0551956165666801
"63",-0.025631865620444,-0.0560531094913357
"64",-0.0261463613776331,-0.0569106024159913
"65",-0.0266608571348223,-0.0577680953406468
"66",-0.0271753528920114,-0.0586255882653024
"67",-0.0276898486492006,-0.059483081189958
