"","x","y"
"1",0,0
"2",0.001,0
"3",0.002,0
"4",0.003,0
"5",0.004,0
"6",0.005,0
"7",0.006,0
"8",0.007,0
"9",0.008,0
"10",0.009,0
"11",0.01,0
"12",0.011,0
"13",0.012,0
"14",0.013,0
"15",0.014,0
"16",0.015,0
"17",0.016,0
"18",0.017,0
"19",0.018,0
"20",0.019,0
"21",0.02,0
"22",0.021,0
"23",0.022,0
"24",0.023,0
"25",0.024,0
"26",0.025,0
"27",0.026,0
"28",0.027,0
"29",0.028,0
"30",0.029,0
"31",0.03,0
"32",0.031,0
"33",0.032,0
"34",0.033,0
"35",0.034,0
"36",0.035,0
"37",0.036,0
"38",0.037,0
"39",0.038,0
"40",0.039,0
"41",0.04,0
"42",0.041,0
"43",0.042,0
"44",0.043,0
"45",0.044,0
"46",0.045,0
"47",0.046,0
"48",0.047,0
"49",0.048,0
"50",0.049,0
"51",0.05,0
"52",0.051,0
"53",0.052,0
"54",0.053,0
"55",0.054,0
"56",0.055,0
"57",0.056,0
"58",0.057,0
"59",0.058,0
"60",0.059,0
"61",0.06,0
"62",0.061,0
"63",0.062,0
"64",0.063,0
"65",0.064,0
"66",0.065,0
"67",0.066,0
"68",0.067,0
"69",0.068,0
"70",0.069,0
"71",0.07,0
"72",0.071,0
"73",0.0720000000000001,0
"74",0.0730000000000001,0
"75",0.0740000000000001,0
"76",0.0750000000000001,0
"77",0.0760000000000001,0
"78",0.0770000000000001,0
"79",0.0780000000000001,0
"80",0.0790000000000001,0
"81",0.0800000000000001,0
"82",0.0810000000000001,0
"83",0.0820000000000001,0
"84",0.0830000000000001,0
"85",0.0840000000000001,0
"86",0.0850000000000001,0
"87",0.0860000000000001,0
"88",0.0870000000000001,0
"89",0.0880000000000001,0
"90",0.0890000000000001,0
"91",0.0900000000000001,0
"92",0.0910000000000001,0
"93",0.0920000000000001,0
"94",0.0930000000000001,0
"95",0.0940000000000001,0
"96",0.0950000000000001,0
"97",0.0960000000000001,0
