x,y,Time,bearing
-0.0017032057597040212,-0.0021964257609516443,0.0,-127.79158373982114
-0.0034064115194080424,-0.0043928515219032885,0.04,-127.79158373982114
-0.00502161831486069,-0.006509084678335536,0.08,-127.64941088146415
-0.004717525119846865,-0.006312506346903029,0.12,-126.77186362824675
-0.004381141982305322,-0.0063281190663669815,0.16,-124.69598883191345
-0.004092661506755453,-0.006467923872476021,0.2,-122.32410588985195
-0.004072081103825696,-0.006932402276528638,0.24,-120.42990245645456
-0.004051500700895941,-0.007396880680581255,0.28,-118.71088599339645
-0.004078822959957858,-0.007985551171278958,0.32,-117.05682660708062
-0.004018146254768402,-0.008494029057457261,0.36,-115.31674272291136
-0.004089467995956008,-0.009122795850414665,0.4,-114.14522202061993
-0.004200886039403313,-0.009707563161246378,0.44,-113.40024029721577
-0.004904877753414309,-0.010349103997401559,0.48,-115.35825045897477
-0.005264679970151782,-0.01083806598424992,0.52,-115.90854611713918
-0.005240196387356039,-0.011218448603917153,0.56,-115.03752573486508
-0.004539043349611216,-0.011545960878126907,0.6,-111.46119135986771
-0.004050081362762854,-0.011905763094864382,0.64,-108.78718615708459
-0.004029500959833095,-0.012370241498916999,0.68,-108.04257903655908
-0.004008920556903337,-0.012834719902969614,0.72,-107.34617745622387
-0.0040206300965013025,-0.013087007256125771,0.76,-107.07816381041647
-0.003944340671847894,-0.013259102004762532,0.8,-106.5667802337233
-0.004156531722744354,-0.013291391947290255,0.84,-107.36569458258825
-0.004416625435632488,-0.013447873976463062,0.88,-108.18150167965975
-0.0048889101994170825,-0.013636645948163592,0.92,-109.72339943939522
-0.0051930033944309045,-0.013833224279596098,0.96,-110.57617527606267
-0.0054530971073190404,-0.013989706308768904,1.0,-111.29551517729388
-0.005577289193964124,-0.01394180364677723,1.04,-111.80342082614108
-0.00611805702267015,-0.013790289301070225,1.08,-113.9244508788335
-0.0067791137581552745,-0.01350677650898616,1.12,-116.65228676913705
-0.007440170493640398,-0.013223263716902094,1.16,-119.36461471834046
-0.0077208446094582895,-0.012915267342022283,1.2,-120.87130183256392
-0.007925229300622772,-0.012779365715779234,1.24,-121.80546252861853
-0.00800932508500816,-0.012775462535913246,1.28,-122.08484708609521
-0.008221516135904619,-0.012807752478440966,1.32,-122.6971018622063
-0.008330095503085748,-0.012423466678907749,1.36,-123.84236534164388
-0.008434771690400892,-0.011955085094989144,1.4000000000000001,-125.20443788907328
-0.00841525579107095,-0.011534606173062211,1.44,-126.11321675223165
-0.008495448395590348,-0.011446607208810838,1.48,-126.58208334914275
-0.008519931978386096,-0.011066224589143607,1.52,-127.59282247565362
-0.008540512381315852,-0.01060174618509099,1.56,-128.8540850421761
-0.008513190122253933,-0.010013075694393287,1.6,-130.37143155642528
-0.008545480064781655,-0.00980088464349683,1.6400000000000001,-131.0854680285896
-0.008617866309569075,-0.009544694110474681,1.68,-132.0787544275121
-0.008602253590105122,-0.009208310972933138,1.72,-133.05109283226363
-0.008622833993034878,-0.008743832568880519,1.76,-134.60081023475604
-0.008611124453436913,-0.008491545215724362,1.8,-135.4005967564544
-0.008643414395964635,-0.0082793541648279,1.84,-136.23241641039007
-0.008547609071981285,-0.008030969991537733,1.8800000000000001,-136.78493356000345
-0.008399997906140268,-0.007574297947217091,1.92,-137.95894463277378
-0.00834038570455063,-0.00719781850741585,1.96,-139.20554838188346
-0.008284676682826977,-0.006905434851999991,2.0,-140.18815370054088
-0.008188871358843625,-0.006657050678709822,2.04,-140.89100280779334
-0.007744973357720765,-0.006171991871727448,2.08,-141.4485563702707
-0.007473170105234663,-0.005763222489398482,2.12,-142.36100538719867
-0.007249269514740239,-0.005478645193714602,2.16,-142.91978608250062
-0.00711336788849719,-0.00527426050255012,2.2,-143.44463364693698
-0.006889467298002765,-0.00498968320686624,2.24,-144.08613843173532
-0.006577567743256967,-0.004624913306662961,2.2800000000000002,-144.88763332215706
-0.006525761901399303,-0.0044166254356324906,2.32,-145.90991973004157
-0.0061336697421341055,-0.004139854499680587,2.36,-145.98304101333233
-0.005825673367254296,-0.003859180383862696,2.4,-146.47777023492654
-0.005381775366131435,-0.003374121576880321,2.44,-147.91421052460188
-0.005245873739888385,-0.0031697368857158377,2.48,-148.8581884707899
-0.005197971077896709,-0.003045544799070753,2.52,-149.63352312710884
-0.005205777437628686,-0.003213736367841525,2.56,-148.311293282844
-0.005025876329259949,-0.0029692553744173436,2.6,-149.42567961492614
-0.004589784687869065,-0.002652388136205742,2.64,-149.9768359395421
-0.004145886686746206,-0.002167329329223367,2.68,-152.40095351937623
-0.003969888758243456,-0.0020069441201845725,2.72,-153.18150167965976
-0.0039659855783774674,-0.0019228483357991864,2.7600000000000002,-154.13427207659345
-0.003877986614126093,-0.0018426557312797884,2.8000000000000003,-154.58490374705252
-0.003573893419112271,-0.0016460773998472822,2.84,-155.2699685258293
-0.0030214160508082793,-0.001545304392398128,2.88,-152.91250938596326
-0.0023447465958592022,-0.0014924340469406488,2.92,-147.52319762598987
-0.0017961724074211992,-0.00147575682387688,2.96,-140.59306412932665
-0.0014519829101476778,-0.0013231779745700614,3.0,-137.6573906829055
-0.0013238876436366042,-0.001286984852176351,3.04,-135.80978041691085
-0.0010276008083547593,-0.0012585980895146174,3.08,-129.2304216614248
-0.0005709287640341187,-0.0014062092553556328,3.12,-112.09742551108168
-0.0001504498421071883,-0.0014257251546855743,3.16,-96.02385134633528
