x,y,Time,bearing
0.0,0.0,0.0,0.0
-0.000727262424719849,-0.0009662975374760638,0.01,-78.76754655855456
-0.0014545248494396985,-0.0019325950749521277,0.02,-52.202495381476574
-0.0014545248494396985,-0.0019325950749521277,0.03,-45.07747903257477
-0.0014545248494396985,-0.0019325950749521277,0.04,-33.76754655855455
-0.0014545248494396985,-0.0019325950749521277,0.05,-25.63744420439858
-0.0013585092080853644,-0.0018743715777462552,0.06,-27.427354812644644
-0.0012624935667310305,-0.0018161480805403824,0.07,-24.305224350528942
-0.0010704622840223624,-0.0016997010861286369,0.08,-29.953471724264197
-0.000878431001313694,-0.0015832540917168911,0.09,-33.76754655855456
-0.0004943684358963578,-0.0013503601028934,0.1,-41.89764891271054
-0.0002063215118333558,-0.0011756896112757817,0.11,-43.22986876658018
8.172541222964611e-05,-0.0010010191196581633,0.12,-44.25902357088616
0.00017774105358398022,-0.0009427956224522904,0.13,-47.33798094371604
0.0002737566949383142,-0.0008845721252464179,0.14,-54.53980124060038
0.00017774105358398022,-0.0009427956224522904,0.15,-60.33259773563255
0.00013994890943551866,-0.0010970347610124974,0.16,-62.8221506576317
0.00010215676528705767,-0.001251273899572704,0.17,-62.8221506576317
0.00016038026249293042,-0.001347289540927038,0.18,-58.78444003665459
0.00016038026249293042,-0.001347289540927038,0.19,-55.268980882602456
0.00010215676528705767,-0.001251273899572704,0.2,-52.202495381476574
-1.4290229124687761e-05,-0.0010592426168640361,0.21,-52.202495381476574
-0.00013073722353643347,-0.0008672113341553682,0.22,-51.214734981836756
-0.00018896072074230607,-0.000771195692801034,0.23,-50.15708689258934
-0.00018896072074230607,-0.000771195692801034,0.24,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.25,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.26,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.27,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.28,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.29,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.3,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.31,-50.15708689258934
-0.00018896072074230607,-0.000771195692801034,0.32,-51.214734981836756
-0.00018896072074230607,-0.000771195692801034,0.33,-51.214734981836756
-0.00018896072074230607,-0.000771195692801034,0.34,-50.15708689258934
-0.00018896072074230607,-0.000771195692801034,0.35000000000000003,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.36,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.37,-49.02266526161233
-0.00018896072074230607,-0.000771195692801034,0.38,-49.02266526161233
-9.29450793879721e-05,-0.0007129721955951616,0.39,-43.7755263599959
3.070561966361865e-06,-0.0006547486983892886,0.4,-38.66663901234231
4.086270611482295e-05,-0.0005005095598290816,0.41000000000000003,-32.13096951693783
-1.7360791091049818e-05,-0.0004044939184747478,0.42,-28.86845410476679
-7.55842882969226e-05,-0.00030847827712041364,0.43,-22.45761408453435
-0.00013380778550279543,-0.00021246263576607963,0.44,-17.2104751829179
-0.00019203128270866817,-0.0001164469944117456,0.45,-13.54268712738648
-0.000250254779914541,-2.043135305741163e-05,0.46,-12.730035533132739
-0.000250254779914541,-2.043135305741163e-05,0.47000000000000003,-12.730035533132739
-0.000250254779914541,-2.043135305741163e-05,0.48,-12.730035533132739
-0.000250254779914541,-2.043135305741163e-05,0.49,-12.730035533132739
-0.000250254779914541,-2.043135305741163e-05,0.5,-12.730035533132739
-0.000250254779914541,-2.043135305741163e-05,0.51,-12.730035533132739
-0.000250254779914541,-2.043135305741163e-05,0.52,-12.730035533132739
-0.000250254779914541,-2.043135305741163e-05,0.53,-12.730035533132739
-0.000250254779914541,-2.043135305741163e-05,0.54,-12.730035533132739
-0.000154239138560207,3.779214414846116e-05,0.55,-11.966137072202748
-5.822349720587298e-05,9.601564135433393e-05,0.56,-11.246980955657671
3.7792144148461064e-05,0.00015423913856020666,0.5700000000000001,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.58,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.59,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.6,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.61,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.62,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.63,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.64,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.65,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.66,-10.568956044906372
3.7792144148461064e-05,0.00015423913856020666,0.67,-9.928806375382834
3.7792144148461064e-05,0.00015423913856020666,0.68,-9.323591778138024
3.7792144148461064e-05,0.00015423913856020666,0.6900000000000001,-6.695466320561795
7.558428829692247e-05,0.0003084782771204136,0.7000000000000001,-4.7129424594774125
0.00011337643244538359,0.0004627174156806204,0.71,-0.9680152859353401
5.5152935239510886e-05,0.0005587330570349544,0.72,2.4862911788902355
-4.086270611482321e-05,0.0005005095598290815,0.73,5.660255637481648
-0.00013687834746915726,0.00044228606262320877,0.74,8.506142447539178
-0.00019510184467503,0.0005383017039775429,0.75,9.868525909842525
-0.0002533253418809028,0.0006343173453318768,0.76,11.232453441445445
-0.0003697723362926484,0.0008263486280405448,0.77,11.232453441445445
-0.000331980192144187,0.0009805877666007518,0.78,10.013578206314147
-0.0002941880479957258,0.0011348269051609588,0.79,8.895147582321622
-0.00025639590384726453,0.0012890660437211655,0.8,7.656119066448093
-0.0003146194010531374,0.0013850816850754996,0.81,7.580230661139107
-0.0003728428982590101,0.0014810973264298333,0.8200000000000001,7.580230661139107
-0.0003728428982590101,0.0014810973264298333,0.8300000000000001,8.795805194635314
-0.0003728428982590101,0.0014810973264298333,0.84,11.232453441445445
-0.000431066395464883,0.0015771129677841676,0.85,13.618397471834257
-0.0004892898926707557,0.0016731286091385014,0.86,14.808787816442795
-0.0005475133898766284,0.0017691442504928353,0.87,14.808787816442795
-0.0005475133898766284,0.0017691442504928353,0.88,14.735985086229903
-0.0005475133898766284,0.0017691442504928353,0.89,14.666083803895965
-0.0005475133898766284,0.0017691442504928353,0.9,14.598914104875245
-0.0005475133898766284,0.0017691442504928353,0.91,14.598914104875245
-0.0005475133898766284,0.0017691442504928353,0.92,14.598914104875245
-0.0005475133898766284,0.0017691442504928353,0.93,14.598914104875245
-0.0005475133898766284,0.0017691442504928353,0.9400000000000001,14.598914104875245
-0.0005475133898766284,0.0017691442504928353,0.9500000000000001,14.598914104875245
-0.0005475133898766284,0.0017691442504928353,0.96,14.598914104875245
-0.0006057368870825012,0.0018651598918471696,0.97,14.598914104875245
-0.000663960384288374,0.0019611755332015037,0.98,14.598914104875245
-0.0007221838814942468,0.0020571911745558375,0.99,14.598914104875245
-0.0007221838814942468,0.0020571911745558375,1.0,14.598914104875245
-0.0007221838814942468,0.0020571911745558375,1.01,14.598914104875245
-0.0007221838814942468,0.0020571911745558375,1.02,14.534319115880447
-0.0007221838814942468,0.0020571911745558375,1.03,15.54848096131107
-0.0007221838814942468,0.0020571911745558375,1.04,16.426882349180246
-0.0007221838814942468,0.0020571911745558375,1.05,17.347957007730855
-0.0007221838814942468,0.0020571911745558375,1.06,17.24145939893997
-0.0007221838814942468,0.0020571911745558375,1.07,17.24145939893997
-0.0007804073787001195,0.002153206815910172,1.08,17.24145939893997
-0.0008386308759059923,0.0022492224572645053,1.09,17.24145939893997
-0.0009550778703177377,0.002441253739973174,1.1,17.24145939893997
-0.0010133013675236108,0.0025372693813275077,1.11,17.24145939893997
-0.0010715248647294832,0.002633285022681841,1.12,17.24145939893997
-0.0010715248647294832,0.002633285022681841,1.1300000000000001,17.24145939893997
-0.0010715248647294832,0.002633285022681841,1.1400000000000001,17.24145939893997
-0.0010715248647294832,0.002633285022681841,1.1500000000000001,17.24145939893997
-0.0010715248647294832,0.002633285022681841,1.16,17.24145939893997
-0.0010715248647294832,0.002633285022681841,1.17,17.13859455521595
-0.0010715248647294832,0.002633285022681841,1.18,17.039180346977027
-0.0010715248647294832,0.002633285022681841,1.19,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.2,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.21,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.22,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.23,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.24,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.25,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.26,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.27,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.28,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.29,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.3,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.31,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.32,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.33,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.34,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.35,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.36,16.943046578945086
-0.0010715248647294832,0.002633285022681841,1.37,17.88687848745204
-0.0010715248647294832,0.002633285022681841,1.3800000000000001,19.625378628837947
-0.0010715248647294832,0.002633285022681841,1.3900000000000001,21.29314323676842
-0.0010715248647294832,0.002633285022681841,1.4000000000000001,23.76126115059695
-0.0011297483619353563,0.0027293006640361763,1.41,25.48248613924904
-0.001342210997701436,0.002863108449538971,1.42,26.94109127046119
-0.0016128971306733884,0.0030929318763961,1.43,27.52650089804435
-0.001825359766439468,0.0032267396618988952,1.44,27.85321035533751
-0.0018835832636453405,0.003322755303253229,1.45,28.39437224431074
-0.0018835832636453405,0.003322755303253229,1.46,28.159966505592482
-0.0018835832636453405,0.003322755303253229,1.47,28.159966505592482
-0.0018835832636453405,0.003322755303253229,1.48,28.159966505592482
-0.0018835832636453405,0.003322755303253229,1.49,28.159966505592482
-0.0018835832636453405,0.003322755303253229,1.5,28.159966505592482
-0.0018835832636453405,0.003322755303253229,1.51,28.159966505592482
-0.0018835832636453405,0.003322755303253229,1.52,28.159966505592482
-0.0018835832636453405,0.003322755303253229,1.53,28.159966505592482
-0.0018835832636453405,0.003322755303253229,1.54,28.159966505592482
-0.0019418067608512135,0.003418770944607564,1.55,28.159966505592482
-0.002000030258057086,0.0035147865859618977,1.56,28.159966505592482
-0.002058253755262959,0.003610802227316232,1.57,28.159966505592482
-0.002058253755262959,0.003610802227316232,1.58,28.159966505592482
-0.002058253755262959,0.003610802227316232,1.59,28.159966505592482
-0.002058253755262959,0.003610802227316232,1.6,28.159966505592482
-0.002058253755262959,0.003610802227316232,1.61,28.159966505592482
-0.002058253755262959,0.003610802227316232,1.62,28.159966505592482
-0.002058253755262959,0.003610802227316232,1.6300000000000001,28.159966505592482
-0.002058253755262959,0.003610802227316232,1.6400000000000001,26.41829070364676
-0.002058253755262959,0.003610802227316232,1.6500000000000001,23.16177561868377
-0.002058253755262959,0.003610802227316232,1.6600000000000001,17.661201190275296
-0.002058253755262959,0.003610802227316232,1.67,10.38992918070503
-0.002000030258057086,0.0035147865859618977,1.68,1.1717636461224727
-0.0017875676222910064,0.0033809788004591024,1.69,-7.825251068682886
-0.0016711206278792609,0.0031889475177504347,1.7,-14.862970715942906
-0.0015168814893190543,0.0031511553736019732,1.71,-19.178627825679914
-0.0015168814893190543,0.0031511553736019732,1.72,-22.457614084534338
-0.0013248502066103862,0.003267602368013719,1.73,-24.184601835021983
-0.0012288345652560523,0.0033258258652195923,1.74,-25.021384295999344
-0.001132818923901718,0.0033840493624254647,1.75,-25.021384295999344
-0.001132818923901718,0.0033840493624254647,1.76,-25.021384295999344
-0.001132818923901718,0.0033840493624254647,1.77,-25.021384295999344
-0.001132818923901718,0.0033840493624254647,1.78,-25.021384295999344
-0.001132818923901718,0.0033840493624254647,1.79,-25.021384295999344
-0.001132818923901718,0.0033840493624254647,1.8,-25.021384295999344
-0.001132818923901718,0.0033840493624254647,1.81,-25.021384295999344
-0.001132818923901718,0.0033840493624254647,1.82,-25.021384295999344
-0.0010745954266958451,0.0032880337210711304,1.83,-25.021384295999344
-0.0010163719294899725,0.0031920180797167966,1.84,-25.021384295999344
-0.0009581484322840997,0.0030960024383624623,1.85,-25.021384295999344
-0.0009581484322840997,0.0030960024383624623,1.86,-25.021384295999344
