x,y,Time
0.0,0.0,0.0
0.0,0.0,0.04
0.0,0.0,0.08
0.010000000009313226,-0.009999999776482582,0.12
0.030000000027939677,-0.019999999552965164,0.16
-0.25,-0.4299999997019768,0.2
-0.25,-0.4299999997019768,0.24
-0.23999999999068677,-0.4299999997019768,0.28
-0.25,-0.4299999997019768,0.32
-0.25,-0.4299999997019768,0.36
-0.23999999999068677,-0.4299999997019768,0.4
-0.22999999998137355,-0.43999999947845936,0.44
-0.21999999997206032,-0.44999999925494194,0.48
-0.2099999999627471,-0.44999999925494194,0.52
-0.18000000005122274,-0.44999999925494194,0.56
-0.17000000004190952,-0.44999999925494194,0.6
-0.15000000002328306,-0.4599999999627471,0.64
-0.15000000002328306,-0.4599999999627471,0.68
-0.15000000002328306,-0.47999999951571226,0.72
-0.1600000000325963,-0.48999999929219484,0.76
-0.1600000000325963,-0.5,0.8
-0.1600000000325963,-0.5199999995529652,0.84
-0.1600000000325963,-0.5400000000372529,0.88
-0.17000000004190952,-0.5599999995902181,0.92
-0.1600000000325963,-0.5699999993667006,0.96
-0.17000000004190952,-0.5899999998509884,1.0
-0.17000000004190952,-0.6099999994039536,1.04
-0.1600000000325963,-0.6299999998882413,1.08
-0.17000000004190952,-0.659999999217689,1.12
-0.18000000005122274,-0.6699999999254942,1.16
-0.18999999994412065,-0.6799999997019768,1.2
-0.2099999999627471,-0.6899999994784594,1.24
-0.2099999999627471,-0.6999999992549419,1.28
-0.2099999999627471,-0.7199999997392297,1.32
-0.18999999994412065,-0.7399999992921948,1.36
-0.17000000004190952,-0.7399999992921948,1.4000000000000001
-0.1600000000325963,-0.7299999995157123,1.44
-0.14000000001396984,-0.7199999997392297,1.48
-0.15000000002328306,-0.7199999997392297,1.52
-0.14000000001396984,-0.7099999999627471,1.56
-0.14000000001396984,-0.7199999997392297,1.6
