x,y,Time
0.0,0.0,0.0
0.0,0.0,0.04
-0.0007189210019524682,-0.0024465593377132016,0.08
-0.0021926862097486487,-0.006925776238074021,0.12
-0.004102668078499321,-0.013196945237815325,0.16
-0.006116093232328833,-0.02104744808509099,0.2
-0.008821710100002832,-0.030068578105090817,0.24
-0.012239793343837981,-0.040028237814843215,0.28
-0.016442117502184633,-0.05068949220819311,0.32
-0.021594538799048334,-0.0617527308970096,0.36
-0.027924067001133285,-0.0727996869379527,0.4
-0.035546685825433,-0.08340352078560961,0.44
-0.04438712012127598,-0.09337968941001625,0.48
-0.05424011314687062,-0.1028759652662415,0.52
-0.06509937595840842,-0.11152326238653391,0.56
-0.07681097078132287,-0.11946171675551476,0.6
-0.08928799438013832,-0.1265851270475818,0.64
-0.10244323261276356,-0.13260564177727172,0.68
-0.11608789015418344,-0.13706157807468877,0.72
-0.13007756391891287,-0.13996470318222753,0.76
-0.1443561903832273,-0.14153636662956065,0.8
