x,y,Time
0.0,0.0,0.0
0.0,0.0,0.04
0.0,0.0,0.08
-0.002210508704824879,-0.0012712793815261208,0.12
-0.005776782870964788,-0.004263771079681441,0.16
-0.009791895544371527,-0.009159978582576058,0.2
-0.014633277572636223,-0.015434048539458591,0.24
-0.020014819906409957,-0.022980334250106975,0.28
-0.025532611396658612,-0.0317637158403921,0.32
-0.03075782680454007,-0.04172281618778058,0.36
-0.0355965049241047,-0.05270691956055287,0.4
-0.04083970131172017,-0.06432920635322971,0.44
-0.046454921016183294,-0.07647979519618738,0.48
-0.05213319376527724,-0.0891916721202696,0.52
-0.05213319376527724,-0.0891916721202696,0.56
-0.05466847405950704,-0.08946526639961416,0.6
-0.05937325791390113,-0.08973010738997647,0.64
-0.06592199234431012,-0.08999635984949461,0.68
-0.07402787200318708,-0.09045433433478901,0.72
-0.07402787200318708,-0.09045433433478901,0.76
-0.07503356374954116,-0.09279764056985845,0.8
-0.07503356374954116,-0.09279764056985845,0.84
-0.07753968609153165,-0.09232663015917082,0.88
-0.08216169886535528,-0.09138461737231086,0.92
-0.088254532156072,-0.08923517595398879,0.96
-0.088254532156072,-0.08923517595398879,1.0
-0.09029397502948756,-0.09076591850780849,1.04
-0.09029397502948756,-0.09076591850780849,1.08
-0.09029397502948756,-0.09076591850780849,1.12
-0.09029397502948756,-0.09076591850780849,1.16
-0.09029397502948756,-0.09076591850780849,1.2
-0.08941181404471377,-0.09315846777520988,1.24
-0.08750902852555491,-0.09746660367546912,1.28
-0.08750902852555491,-0.09746660367546912,1.32
-0.08750902852555491,-0.09746660367546912,1.36
-0.08669651770647019,-0.09988369411003509,1.4000000000000001
-0.08669651770647019,-0.09988369411003509,1.44
-0.08669651770647019,-0.09988369411003509,1.48
-0.08855807115515436,-0.10162642723868447,1.52
-0.09229846452919616,-0.10446613958164978,1.56
-0.09229846452919616,-0.10446613958164978,1.6
-0.09089239707904297,-0.10233882335559881,1.6400000000000001
-0.08832378384333692,-0.09838208905680768,1.68
-0.0847282035946772,-0.09289565400382079,1.72
-0.08095135686892908,-0.08578611990565074,1.76
-0.07727517621952326,-0.07723593124243339,1.8
-0.07727517621952326,-0.07723593124243339,1.84
-0.0780629902463379,-0.07481067887223475,1.8800000000000001
-0.0780629902463379,-0.07481067887223475,1.92
-0.08032470436412836,-0.07363290586804963,1.96
-0.08462338285203855,-0.07170655752651747,2.0
-0.08462338285203855,-0.07170655752651747,2.04
-0.08621370039274219,-0.06971322109737904,2.08
-0.08859463707009083,-0.06568579367187567,2.12
-0.08859463707009083,-0.06568579367187567,2.16
-0.09102132822908769,-0.06490242273876257,2.2
-0.09102132822908769,-0.06490242273876257,2.24
-0.09077058338762331,-0.06236478071820904,2.2800000000000002
-0.09077058338762331,-0.06236478071820904,2.32
-0.0931024168881227,-0.061332766897589965,2.36
-0.0931024168881227,-0.061332766897589965,2.4
-0.0931024168881227,-0.061332766897589965,2.44
-0.0931024168881227,-0.061332766897589965,2.48
-0.09332607132979541,-0.05879259393286491,2.52
-0.09332607132979541,-0.05879259393286491,2.56
-0.09224731935070547,-0.0564820108532918,2.6
-0.09224731935070547,-0.0564820108532918,2.64
-0.09333951923010542,-0.05417775404828096,2.68
-0.0958255197233832,-0.050200154108070986,2.72
-0.09941129555794113,-0.04473743357677604,2.7600000000000002
-0.10324253196109827,-0.03766741576622798,2.8000000000000003
-0.10324253196109827,-0.03766741576622798,2.84
-0.10324253196109827,-0.03766741576622798,2.88
-0.10324253196109827,-0.03766741576622798,2.92
-0.10324253196109827,-0.03766741576622798,2.96
-0.10104049952657372,-0.03895332134491637,3.0
-0.09704817600635536,-0.04146252356556021,3.04
-0.09185255513058534,-0.045399443625125754,3.08
-0.08560054870032333,-0.05051574098218217,3.12
-0.07836163483311058,-0.05653731534109856,3.16
-0.07068531049934966,-0.06370070046781166,3.2
-0.07068531049934966,-0.06370070046781166,3.24
-0.07068531049934966,-0.06370070046781166,3.2800000000000002
-0.07068531049934966,-0.06370070046781166,3.3200000000000003
-0.0726643243654348,-0.062092594713253596,3.36
-0.0726643243654348,-0.062092594713253596,3.4
-0.070302637205236,-0.06113085994869938,3.44
-0.06611870571927583,-0.05898471724285323,3.48
-0.06611870571927583,-0.05898471724285323,3.52
-0.06389843873098244,-0.06023887612461207,3.56
-0.059558274986461684,-0.06200176197110005,3.6
-0.053422267364156874,-0.06421808320148448,3.64
-0.053422267364156874,-0.06421808320148448,3.68
-0.053422267364156874,-0.06421808320148448,3.72
-0.051073178266169854,-0.06322597413000164,3.7600000000000002
-0.04660617522599567,-0.06175004406096406,3.8000000000000003
-0.04026251841787244,-0.060365897963870374,3.84
-0.032359178885146514,-0.05963233837361803,3.88
-0.032359178885146514,-0.05963233837361803,3.92
-0.02989126089658522,-0.05899055897091366,3.96
-0.02549354476886914,-0.05734388111974276,4.0
-0.01958774390444256,-0.054601299906539495,4.04
-0.012751012099944076,-0.05048076692670846,4.08
-0.012751012099944076,-0.05048076692670846,4.12
-0.012751012099944076,-0.05048076692670846,4.16
-0.0102097013578926,-0.05069109931207454,4.2
-0.0102097013578926,-0.05069109931207454,4.24
-0.00883818190208219,-0.04854134714442044,4.28
-0.006216576230408865,-0.0446204711171643,4.32
-0.00250798364518176,-0.03921132918958173,4.36
0.001908071213469922,-0.03239873733881628,4.4
0.006542651109686542,-0.02421503268183509,4.44
0.011379386478629079,-0.014871986885542155,4.48
0.01587783803436495,-0.004409970287882306,4.5200000000000005
0.020159099936642493,0.006991353455124245,4.5600000000000005
0.020159099936642493,0.006991353455124245,4.6000000000000005
0.02267956785025007,0.00737831791922226,4.64
0.02267956785025007,0.00737831791922226,4.68
0.02267956785025007,0.00737831791922226,4.72
0.02257263694325836,0.009926074929050694,4.76
0.022441350266034214,0.01464134840873134,4.8
0.022432432057063904,0.02119726291982082,4.84
0.023308323620238765,0.029161855711780458,4.88
0.02474766471192805,0.03838526865088452,4.92
0.02474766471192805,0.03838526865088452,4.96
0.02474766471192805,0.03838526865088452,5.0
0.02474766471192805,0.03838526865088452,5.04
0.02474766471192805,0.03838526865088452,5.08
0.023015716488141345,0.0402568603131127,5.12
0.0198626647152635,0.04376528704931535,5.16
0.015634282856922962,0.04877360493430533,5.2
0.010694929909437857,0.05519697627863413,5.24
0.005522058681587282,0.06301332304391241,5.28
0.005522058681587282,0.06301332304391241,5.32
0.005522058681587282,0.06301332304391241,5.36
0.003827845395603864,0.06491914080581863,5.4
0.0010900557047054706,0.06873418337604624,5.44
0.0010900557047054706,0.06873418337604624,5.48
0.0010900557047054706,0.06873418337604624,5.5200000000000005
-9.627519005008314e-05,0.06647694634636847,5.5600000000000005
-0.0024562762868501754,0.06239597578778899,5.6000000000000005
-0.0050681480395635675,0.05645017270470651,5.64
-0.007900044280548043,0.04892072108100222,5.68
-0.011083400091722083,0.04009170691220866,5.72
-0.011083400091722083,0.04009170691220866,5.76
-0.011083400091722083,0.04009170691220866,5.8
-0.011083400091722083,0.04009170691220866,5.84
-0.013216449207872846,0.041489062081121866,5.88
-0.013216449207872846,0.041489062081121866,5.92
-0.014645089634195934,0.04360128520671144,5.96
-0.014645089634195934,0.04360128520671144,6.0
-0.014832204961680563,0.04614441081395547,6.04
-0.015670867714812537,0.05076383563789942,6.08
-0.017044542785639216,0.05715323688127809,6.12
-0.018281146938350215,0.06513329476982532,6.16
-0.018564794685591732,0.07434811211218643,6.2
-0.0183665502485282,0.08469257387822705,6.24
-0.0183665502485282,0.08469257387822705,6.28
-0.01589267003171861,0.08531097235241514,6.32
-0.011277930621481394,0.08627553163755962,6.36
-0.0048753597398405405,0.08768861001275126,6.4
-0.0048753597398405405,0.08768861001275126,6.44
-0.0031179873756097295,0.08953634981408634,6.48
-0.0031179873756097295,0.08953634981408634,6.5200000000000005
-0.0007558173251645616,0.0885758017138957,6.5600000000000005
-0.0007558173251645616,0.0885758017138957,6.6000000000000005
0.0014300782222917588,0.08988895085074597,6.640000000000001
0.005142609447086324,0.09275534347076356,6.68
0.005142609447086324,0.09275534347076356,6.72
0.005634542441458031,0.09525744297498966,6.76
0.0073680546024443615,0.09956878794168685,6.8
0.0073680546024443615,0.09956878794168685,6.84
0.0073680546024443615,0.09956878794168685,6.88
0.0073680546024443615,0.09956878794168685,6.92
0.0073680546024443615,0.09956878794168685,6.96
0.006113450964946182,0.10178880364270707,7.0
0.004086004402851978,0.10603778961100566,7.04
0.004086004402851978,0.10603778961100566,7.08
0.004086004402851978,0.10603778961100566,7.12
0.005835154252996495,0.10418226413240413,7.16
0.009094191132386829,0.10077160183897123,7.2
0.013622012074521617,0.09602505328600774,7.24
0.01850940343739414,0.08966164356648788,7.28
0.02364702161806982,0.08189997008173662,7.32
0.02364702161806982,0.08189997008173662,7.36
0.022204310539937554,0.07979733251310184,7.4
0.01955523410784521,0.07589391010744945,7.44
0.01955523410784521,0.07589391010744945,7.48
0.019038521794386663,0.07339681011243115,7.5200000000000005
0.01879968023687692,0.06873215900916811,7.5600000000000005
0.018434061635251204,0.06222239513168247,7.6000000000000005
0.018556042910767293,0.0541760854292078,7.640000000000001
0.018556042910767293,0.0541760854292078,7.68
0.018556042910767293,0.0541760854292078,7.72
0.018641751401416884,0.051627526217686404,7.76
