"","condition","mean_speed","sd_speed","sinuosity","sinuosity_redisc","sinuosity_smooth_redisc","straightness_DL_ratio","straightness_r","Emax_a","Emax_b","Emax_b_100deg","Emax_a_unrediscretised","Emax_b_unrediscretised","ESqDiffusionDistance","EDiffusionDistance","TrajExpDrift","TrajExpDriftDist","TrajNestNearest","min_deltaS","min_C","filename"
"1","FVNoIce",0.0229586035854464,0.0277656653491943,13.8656647809942,8.20012613071362,8.21286747005151,0.653276293104666,0.5496779270506,0.987164243190207,0.0197432848638041,0.0341964822263779,10.0964371742646,0.00927200394837217,0.0032851727118112,0.0507953601650774,0.496770333188668,0.0397416266550935,10.7951928896274,NA,NA,"2013-11-27_ovalFVNoIce_ant3_oval_notcool_25fps.csv"
"2","FVNoIce",0.0253626295946463,0.0422951980278145,16.5354470538275,2.11127301929402,1.93086704426106,0.919632399763183,0.961275355171772,21.9342318854518,0.438684637709037,0.0668308271269543,5.31966617942057,0.00539682891503243,0.00605871500552659,0.0689819080476116,0.956397057246363,0.076511764579709,10.8486186710561,NA,NA,"2013-11-27_ovalFVNoIce_ant4_oval_notcool_25fps.csv"
"3","FVNoIce",0.0210099952059594,0.0193491926442396,29.2002064840611,6.22241976400053,6.16227498765802,0.869912338569073,0.676632505506617,2.08274416784487,0.0416548833568974,0.127220801031011,1.86700339659231,0.00156902929647658,0.00419850821899363,0.0574238682448918,0.675613691713155,0.0540490953370524,10.8251085270532,NA,NA,"2013-11-27_ovalFVNoIce_ant5_oval_notcool_25fps.csv"
"4","FVNoIce",0.0888776340237789,0.0522777971788785,6.18889600749588,1.6045949788206,1.60902076619239,0.972326489180734,0.980175468823386,38.3390986265387,0.766781972530775,0.341602356833398,14.0146211244374,0.0498234546911869,0.00619921154257386,0.0697771406697764,0.974579997129741,0.0779663997703793,10.8335485149145,NA,NA,"2013-12-03_ovalFVNoIce_094515_ant4_control_25fps.csv"
"5","FVNoIce",0.0733169516711413,0.0479554821340932,6.14156576268059,2.0564457240929,2.05683973235504,0.928047939020243,0.969610628978815,23.1464253150939,0.462928506301879,0.0880953812244965,17.3664599641074,0.0509302362354909,0.00607549167205023,0.0690773479583918,0.958586002401983,0.0766868801921586,10.8175839363824,NA,NA,"2013-12-03_ovalFVNoIce_095849_ant5_control_25fps.csv"
"6","FVNoIce",0.0200761729646776,0.016296046551086,14.5119564808779,6.71112933711893,6.71001365667178,0.712856146803365,0.645221310876112,1.72028529567952,0.0344057059135904,0.0470660959365058,10.9965428055414,0.00883073981510116,0.00395993431485149,0.0557684959278883,0.632391498940113,0.050591319915209,10.8126932109087,NA,NA,"2013-12-04_ovalFVNoIce_085926_ant3_control_25fps.csv"
"7","FVNoIce",0.0215215753206631,0.0194273868167545,15.7042366619995,4.55463934313621,4.58776345447298,0.830583396411359,0.821112541126857,4.32049918139699,0.0864099836279397,0.0306790398928908,8.51281906316584,0.00732837106636402,0.00503237424795935,0.0628682550408065,0.812047710956055,0.0649638168764844,10.863974214457,NA,NA,"2013-12-04_ovalFVNoIce_092054_ant6_control_25fps.csv"
"8","FVNoIce",0.0570020288203421,0.089781472833875,13.7779011709382,2.55965745922281,2.55621426837802,0.959389441898262,0.943027856885317,14.7628732864851,0.295257465729703,0.119071403865797,2.88035851992809,0.00656745117463437,0.00590837269670006,0.0681206654742587,0.936559789460632,0.0749247831568505,10.8281920203898,NA,NA,"2014-12-02_ovalFVNoIce_white_25fps.csv"
"9","FVNoIce",0.0400454861558365,0.0538911022261935,13.9184365971579,7.27164283160384,5.17138333545173,0.629246508466164,0.594659197657258,1.39118895079569,0.0278237790159139,0.0104747679948012,5.03966920023765,0.00807264012752449,0.00369544320187625,0.0538738740364306,0.5817980006694,0.046543840053552,10.8951472413142,NA,NA,"2014-12-02_ovalFVNoIce_yellow_25fps.csv"
"10","FVNoIce",0.0723652261338821,0.0943076819366091,12.264957923754,2.24785641230238,2.30883741345319,0.943217790585502,0.954341330126771,19.2907780285217,0.385815560570434,0.170760127807601,3.24393285135149,0.00938991737404717,0.00601535190086124,0.0687346079869942,0.950716527547916,0.0760573222038333,10.8232637604101,NA,NA,"2014-12-02_ovalFVNoIce_yellowYellow_25fps.csv"
