"","condition","noiseSyn","noiseRot","MemManipType","MemDegradation","mean_speed","sd_speed","sinuosity","sinuosity_redisc","sinuosity_smooth_redisc","straightness_DL_ratio","straightness_r","Emax_a","Emax_b","Emax_b_100deg","Emax_a_unrediscretised","Emax_b_unrediscretised","ESqDiffusionDistance","EDiffusionDistance","TrajExpDrift","TrajExpDriftDist","TrajNestNearest","min_deltaS","min_C","filename"
"1","ZV","0.1","7","None","0",0.0708317756168137,0.0779544275211504,16.6743234063326,7.40789413229738,7.3948928647107,0.541900142239455,0.607446623341517,1.32226051845376,0.0264452103690751,-0.00679824248965172,1.43328587494375,0.00406088733955058,0.00363291866893223,0.0534161740519824,0.569385091787275,0.045550807342982,10.9823528468186,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1001_platformReleases.csv"
"2","ZV","0.1","7","None","0",0.0574766559813637,0.0690140549259405,20.2818721037246,8.89332130710584,9.06061943025126,0.128347469268468,0.433468216469095,0.764363743117607,0.0152872748623521,-0.00227397024054726,0.893887988440468,0.00205510769589864,0.00300507514894501,0.0485816889666541,0.433223447318741,0.0346578757854993,10.869925326585,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1002_platformReleases.csv"
"3","ZV","0.1","7","None","0",0.0709086821332157,0.0796245386621642,17.7133809425378,7.02424080794103,6.9880311849185,0.062596473530063,0.615066833300245,1.52675482859724,0.0305350965719448,-0.00110281528185341,1.11686333835059,0.00316781229781375,0.00381081114289494,0.0547083546881481,0.604235445132141,0.0483388356105713,10.8935366579956,5,-0.201403352145917,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1003_platformReleases.csv"
"4","ZV","0.1","7","None","0",0.0608033914624289,0.0777934378053856,18.6951616716211,8.39397994391888,8.34710045094664,0.492445093220786,0.549522786964654,0.919267132967311,0.0183853426593462,-0.00637032178484631,1.03432776643741,0.00251562544332614,0.00320448297221092,0.0501676692802531,0.478967787848305,0.0383174230278644,11,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1004_platformReleases.csv"
"5","ZV","0.1","7","None","0",0.0563952658111986,0.0662632960900373,20.8447419165508,7.9778469569014,6.47495020568974,0.731506878722352,0.537882358188521,1.07118960977284,0.0214237921954569,0.0422603037104467,0.850200529719644,0.00191789139465445,0.00337988516875053,0.051522379642549,0.517185681464637,0.041374854517171,10.8106793214052,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1005_platformReleases.csv"
"6","ZV","0.1","7","None","0",0.0694824343176731,0.0809875413837292,18.067364376143,7.07558128657996,7.21195493597712,0.250534447796082,0.604641684606781,1.49744923563378,0.0299489847126756,-0.000134725145231638,1.02518416798102,0.00284929166461037,0.00378668264046663,0.0545348841677645,0.599591460866579,0.0479673168693263,10.9322832067833,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1006_platformReleases.csv"
"7","ZV","0.1","7","None","0",0.0596021911197295,0.068974099919809,19.8366200332984,9.34490745414001,9.10145559570524,0.232933943487217,0.394483197180749,0.645117338470019,0.0129023467694004,-0.00211338224783917,0.962324110207882,0.00229426502142935,0.00283541723531089,0.0471903749622594,0.392140623276141,0.0313712498620912,10.9603622959887,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1007_platformReleases.csv"
"8","ZV","0.1","7","None","0",0.0607640784416696,0.0733195937464783,18.4178563753652,5.1966959476982,5.76505350604005,0.760800381114839,0.773022678763255,3.20292899982595,0.0640585799965191,0.0545096714149446,1.19776909254269,0.00291125340377086,0.00471223153118304,0.0608356638008883,0.762070689264223,0.0609656551411378,10.8047550500797,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1008_platformReleases.csv"
"9","ZV","0.1","7","None","0",0.0576896052215966,0.0702938639700818,19.561269570302,6.92703487641132,6.99519739157155,0.250454973966539,0.618769410260932,1.58403616675804,0.0316807233351608,-0.00380102361338327,1.02270126842417,0.00235996929740065,0.00385675232275553,0.0550371346544407,0.61300851247194,0.0490406809977552,10.9472410763679,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1009_platformReleases.csv"
"10","ZV","0.1","7","None","0",0.0665148912674466,0.0738984785780266,18.5576703636719,7.50927506899823,7.51820497594454,0.182909130826804,0.562048420467729,1.27338885122682,0.0254677770245364,-0.000280595835331261,1.06558329815948,0.0028350862885394,0.00358688598135833,0.0530766771951192,0.560128044324509,0.0448102435459607,10.9179976740593,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1010_platformReleases.csv"
"11","ZV","0.1","7","None","0",0.0659198620816892,0.0737431869027955,20.2546334600815,7.19009371014224,6.59675035908893,0.484284902099715,0.592621865365114,1.4343314751222,0.0286866295024439,0.00179647050859524,0.723142160708601,0.00190677725997463,0.00373321551765812,0.054148505160674,0.58920960016351,0.0471367680130808,10.913768729869,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_ZV_1011_platformReleases.csv"
