"","condition","mean_speed","sd_speed","sinuosity","sinuosity_redisc","sinuosity_smooth_redisc","straightness_DL_ratio","straightness_r","Emax_a","Emax_b","Emax_b_100deg","Emax_a_unrediscretised","Emax_b_unrediscretised","ESqDiffusionDistance","EDiffusionDistance","TrajExpDrift","TrajExpDriftDist","TrajNestNearest","min_deltaS","min_C","filename"
"1","FVNoIce",1.16969407561387,0.537005816880837,2.17792928496591,1.26753481874496,0.969962093200698,0.499136233856592,0.937281977524295,11.9483043957327,1.19483043957326,0.0947224231966156,8.40638524996979,0.393315960968699,0.145141199555583,0.337629429351556,0.922769810668834,0.369107924267534,8.14834486114564,NA,NA,"2013-11-26_ovalFVNoIce_ant1NoIceOval_red_gps.csv"
"2","FVNoIce",1.20698942062836,0.756939926354067,3.88534107354777,0.771631448327316,0.385266117281251,0.625651765022073,0.973524952011658,33.0900118541123,3.30900118541123,0.0131375348130494,2.04750614186011,0.0988527300758693,0.154218723064674,0.348027444113959,0.97066589462393,0.388266357849572,9.6555738518297,NA,NA,"2013-11-26_ovalFVNoIce_ant2NoIceOval_yellow_gps.csv"
"3","FVNoIce",0.994564225514884,0.543254128128344,3.31923704117056,1.60913495406041,1.32156849731313,0.16253219968923,0.887247468220792,7.22404967331425,0.722404967331425,0.0185286375635008,3.91392687113179,0.155706065892363,0.137123649204454,0.328171696286463,0.8784054036973,0.35136216147892,10.4587187187,NA,NA,"2013-11-26_ovalFVNoIce_ant3NoIceOval_blue_gps.csv"
"4","FVNoIce",1.71223456874362,0.578438541309156,1.08377839159465,0.567800111863328,0.318534013520969,0.823320438419751,0.984161314428878,61.5353230494703,6.15353230494702,0.14962618458552,24.3043472567586,1.66458974175085,0.156827296825188,0.350958503098428,0.984009037592899,0.393603615037159,5.19111488834976,NA,NA,"2013-11-27_ovalFVNoIce_antNoIce_doubleWhiteOval_gps.csv"
"5","FVNoIce",1.52871341235456,0.560940248299231,2.00060323419033,0.861496640829161,0.669858743703818,0.50411245036353,0.964148892830933,26.4477691892771,2.64477691892771,0.0929928478318383,7.60455919910323,0.465007665708535,0.152845201286115,0.346474155420325,0.963567166675583,0.385426866670233,7.56976221686014,NA,NA,"2013-11-27_ovalFVNoIce_antNoIce_greenOval_gps.csv"
"6","FVNoIce",1.20774911788916,0.549321820220943,2.32255485875047,0.625755853190844,0.424720196606345,0.873313230000213,0.982601288210254,50.576385301338,5.0576385301338,0.432288016688586,7.0712626817921,0.341612450651879,0.156159702827728,0.350210713424917,0.980611281807412,0.392244512722965,8.14297104265751,NA,NA,"2013-11-27_ovalFVNoIce_antNoIce_whiteOval_gps.csv"
"7","FVNoIce",1.81540093234068,0.743961034487813,2.10341926353452,0.726088433327241,0.392685360394019,0.837434137218738,0.975103006471808,37.4359495224097,3.74359495224097,0.491536331994748,5.64112152590942,0.409635891103321,0.154863875889705,0.348754646851313,0.973982690360831,0.389593076144333,5.89738093804447,NA,NA,"2013-12-03_ovalFVNoIce_blueNoIceOval_gps.csv"
"8","FVNoIce",1.55857583642143,0.558598203471632,1.93555171003241,0.810168166616403,0.468385880340927,0.857006189242109,0.969126778098427,29.9705045895589,2.99705045895589,0.579527361564295,7.99890309477406,0.498675883255659,0.153645826075288,0.347380410520247,0.967711213838694,0.387084485535478,7.28407206138177,NA,NA,"2013-12-03_ovalFVNoIce_greenNoIceOval_gps.csv"
"9","FVNoIce",1.76581246635427,0.615949431631253,1.78121254517279,0.887625632095249,0.448798691086406,0.650763860475515,0.966531144210954,24.8846000846997,2.48846000846997,0.174612383830184,8.36386890372106,0.59076095908574,0.152421495846941,0.345993587947059,0.961366990537702,0.384546796215081,8.81175637315153,NA,NA,"2013-12-04_ovalFVNoIce_green_OvalNoIce_gps.csv"
"10","FVNoIce",1.83253717405525,0.796923598730773,1.80506975865073,0.738610850702014,0.508475710506769,0.730740801250407,0.977304363720577,36.1605206738266,3.61605206738266,-0.00558874676896862,7.77937025954329,0.570239407654116,0.154689970653568,0.348558773877975,0.973089720438058,0.389235888175223,10.3543008996291,NA,NA,"2013-12-04_ovalFVNoIce_greenGreen_OvalNoIce_gps.csv"
"11","FVNoIce",1.66666013682103,0.598914730858259,1.22684986103126,0.637264514954245,0.404683616196391,0.423724143316183,0.981601841397127,48.748218311554,4.8748218311554,0.0551430357726457,19.3669399502093,1.29112427148882,0.156019998993666,0.350054025348798,0.979898777605715,0.391959511042286,6.52402844422371,NA,NA,"2014-12-02_ovalFVNoIce_white_gps.csv"
"12","FVNoIce",1.54140947770432,0.517331160448682,1.83864355327717,0.929842000971849,0.582220673601067,0.533714738152869,0.959713802516874,22.6319197471418,2.26319197471418,0.111451119673129,9.03894210004221,0.557308440857026,0.151714416367086,0.345190127285856,0.957684351897778,0.383073740759111,6.26100705921637,NA,NA,"2014-12-02_ovalFVNoIce_yellow_gps.csv"
"13","FVNoIce",1.65427787151194,0.503154549406147,1.39735647607515,0.66013014994805,0.448125561098648,0.469531458234149,0.98046410400565,45.395579561396,4.5395579561396,0.0600632623424949,14.9328956932174,0.98812635611542,0.15573550076485,0.349734722720657,0.978446222475211,0.391378488990084,6.96317525779338,NA,NA,"2014-12-02_ovalFVNoIce_yellowYellow_gps.csv"
"14","FVNoIce",1.64470333279725,0.533197220165729,1.95938219688988,0.902377819173159,0.647815062390796,0.404353420518199,0.960279947408001,24.0614030789476,2.40614030789476,0.0538292676906323,7.36597205120577,0.484593551276381,0.152177547155306,0.345716597874771,0.960098004215892,0.384039201686357,6.97025076554118,NA,NA,"2014-12-09_ovalFVNoIce_blue_gps.csv"
